sleeve,ticker,shares,price,total
Sleeve.FUTURISTIC,UUUU,11,14.21,156.31
Sleeve.FUTURISTIC,KTOS,2,75.98,151.96
Sleeve.FUTURISTIC,OKLO,2,71.62,143.24
Sleeve.FUTURISTIC,INTC,4,37.30,149.20
Sleeve.FUTURISTIC,UEC,14,11.77,164.78
Sleeve.FUTURISTIC,CCJ,1,91.37,91.37
Sleeve.MOMENTUM,JNJ,1,206.91,206.91
Sleeve.MOMENTUM,AAPL,1,273.40,273.40
Sleeve.MOMENTUM,BAC,4,55.28,221.12
Sleeve.MOMENTUM,CSCO,2,77.41,154.82
Sleeve.MOMENTUM,WMT,1,111.92,111.92
Sleeve.MOMENTUM,INTC,2,37.30,74.60
Sleeve.REALWORLD,DUK,1,117.68,117.68
Sleeve.REALWORLD,KO,1,70.07,70.07
Sleeve.REALWORLD,SO,1,87.57,87.57
Sleeve.REALWORLD,EXC,3,43.92,131.76
Sleeve.REALWORLD,AEP,1,115.99,115.99
Sleeve.REALWORLD,MO,2,57.77,115.54
Sleeve.REALWORLD,ED,1,99.89,99.89
Sleeve.REALWORLD,XEL,1,74.19,74.19
Sleeve.REALWORLD,PEG,1,80.91,80.91
Sleeve.REALWORLD,CL,1,79.51,79.51
Sleeve.REALWORLD,D,2,59.06,118.12

# SUMMARY: 23 stocks, Total: $2,990.86
